"1 Betzdorf/Kirchen (Sieg)1";"2,6";"-0,9";"1,5";"0,4";"14,1";"x";"2,5";"-0,8";
"2 Altenkirchen (Westerwald)";"2,7";"-0,9";"2,0";"0,7";"13,6";"x";"2,6";"-0,5";
"3 Linz am Rhein/Rengsdorf";"2,3";"0,1";"2,2";"0,1";"10,7";"x";"2,2";"-0,6";
"4 Neuwied";"3,2";"-0,1";"2,1";"0,5";"13,7";"x";"2,3";"-1,1";
"5 Bad Marienberg/Westerburg1";"2,5";"-0,8";"1,7";"0,4";"13,3";"x";"2,8";"-1,2";
"6 Montabaur1";"2,7";"-0,2";"2,2";"0,5";"10,7";"x";"2,2";"-1,4";
"7 Diez/Nassau";"2,5";"-0,4";"3,7";"1,1";"12,5";"x";"2,2";"-1,1";
"8 Koblenz/Lahnstein";"2,6";"-0,3";"3,3";"1,0";"9,9";"x";"2,6";"-0,4";
"9 Koblenz";"4,3";"0,7";"2,1";"-1,5";"9,4";"x";"2,8";"-0,7";
"10 Bendorf/Weißenthurm1";"2,7";"0,1";"3,0";"1,1";"10,8";"x";"2,1";"-1,0";
"11 Andernach";"2,9";"0,2";"2,0";"0,8";"11,7";"x";"2,2";"-0,8";
"12 Mayen";"2,2";"-0,2";"2,1";"0,5";"9,5";"x";"2,0";"-1,1";
"13 Remagen/Sinzig";"2,5";"-0,3";"2,3";"0,6";"10,4";"x";"2,7";"-0,4";
"14 Bad Neuenahr-Ahrweiler";"2,3";"0,0";"1,2";"-0,1";"9,8";"x";"2,8";"-0,3";
"15 Cochem-Zell1";"2,3";"0,0";"1,2";"-0,5";"9,3";"x";"1,7";"-1,0";
"16 Rhein-Hunsrück1";"2,6";"-0,2";"1,6";"-0,1";"9,9";"x";"1,9";"-1,1";
"17 Bad Kreuznach";"2,9";"0,2";"1,9";"0,9";"11,2";"x";"2,0";"-1,1";
"18 Kirn/Bad Sobernheim";"2,1";"-0,6";"2,0";"0,8";"11,5";"x";"1,9";"-0,9";
"19 Birkenfeld";"2,9";"-1,4";"1,8";"1,0";"12,8";"x";"2,2";"-0,5";
"20 Vulkaneifel";"2,8";"-0,2";"1,4";"-3,9";"9,4";"x";"2,3";"-0,5";
"21 Bitburg-Prüm";"2,1";"-0,5";"2,8";"-9,5";"9,0";"x";"1,8";"-0,5";
"22 Wittlich1";"2,6";"0,2";"2,2";"-1,3";"10,5";"x";"2,3";"-0,6";
"23 Bernkastel-Kues/Morb./Kirchb.1";"2,6";"-0,1";"2,7";"-0,8";"10,4";"x";"2,4";"-0,6";
