"Erststimmen der Landtagswahl am 14. September 2014 mit Vergleichszahlen der Landtagswahl 2009","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","",""
"Endgültiges Ergebnis für das Land Brandenburg nach Wahlkreisen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Auszählungsstand:",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Datum und Uhrzeit:",NA,"41908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wkr
 Nr.","Wahlkreis","Auszählungsstand
Wahlbezirke",NA,NA,"Wahl","Wahl-
berechtigte","Wähler","Wahl-
beteiligung","Ungültige
Stimmen","Gültige
Stimmen","Davon entfielen auf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wahl","Wkr
Nr.",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPD",NA,"DIE LINKE",NA,"CDU",NA,"FDP",NA,"GRÜNE/B 90",NA,"NPD",NA,"BVB / FREIE WÄHLER",NA,"AfD",NA,"PIRATEN",NA,"Die PARTEI",NA,"Einzelbewerber",NA,"Nichtkandidaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"gesamt","ausgezählt","%",NA,"Anzahl",NA,"%","Anzahl",NA,"Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%","Anzahl","%",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Land Brandenburg","3678","3678","100","LT14","2094458","1002753","47.876491197245301","18977","983776","307987","31.3","202364","20.6","246682","25.1","13549","1.4","56725","5.8","9634","1","49854","5.0999999999999996","88330","9","6201","0.6","1726","0.2","724","0.1","0","0","LT14",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LT09","2126357","1425069","67.019272869043149","45218","1379851","417701","30.3","406973","29.5","307685","22.3","87268","6.3","81066","5.9","36247","2.6","32493","2.4","0","0","0","0","0","0","0","0","10418","0.8","LT09",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
